"","Isolate","Accession_number","Collection_time","Country","Nextstrain_clade","Source"
"1454","hCoV-19/Pakistan/UHS2-Pak-23/2021","EPI_ISL_3484141",2021.451,"Slovakia","20I(AlphaV1)","GISAID"
"1455","hCoV-19/Kazakhstan/ALM-NRL-208S/2021","EPI_ISL_2162138",2021.412,"Pakistan","20I(AlphaV1)","GISAID"
"1456","hCoV-19/Iraq/KR-SEARCH-118890/2021","EPI_ISL_11999796",2021.218,"Kazakhstan","20I(AlphaV1)","GISAID"
"1457","hCoV-19/Slovenia/17-028729-KR/2021","EPI_ISL_2162631",2021.511,"Iraq","20I(AlphaV1)","GISAID"
"1458","hCoV-19/Jordan/AM-ALSR-5804/2021","EPI_ISL_878516",2021.325,"Slovenia","20I(AlphaV1)","GISAID"
"1459","hCoV-19/SriLanka/CDR129/2021","EPI_ISL_2481381",2021.015,"Jordan","20I(AlphaV1)","GISAID"
"1460","hCoV-19/Jordan/Biolab0256/2021","EPI_ISL_6268673",2021.366,"SriLanka","20I(AlphaV1)","GISAID"
"1461","hCoV-19/England/CAMC-139DF6F/2021","EPI_ISL_1277188",2021.415,"Jordan","20I(AlphaV1)","GISAID"
"1462","hCoV-19/Sweden/20242013P/2021","EPI_ISL_2418491",2021.182,"England","20I(AlphaV1)","GISAID"
"1463","hCoV-19/Moldova/un-ChVir25841/2021","EPI_ISL_3064704",2021.366,"Sweden","20I(AlphaV1)","GISAID"
"1464","hCoV-19/Ecuador/NIC-INSPI-316273/2021","EPI_ISL_2488717",2021.478,"Moldova","20I(AlphaV1)","GISAID"
"1465","hCoV-19/Ecuador/NIC-INSPI-0421-2913/2021","EPI_ISL_12598446",2021.358,"Ecuador","20I(AlphaV1)","GISAID"
"1466","hCoV-19/Gambia/024491/2021","EPI_ISL_2142747",2021.448,"Ecuador","20I(AlphaV1)","GISAID"
"1467","hCoV-19/Pakistan/PB-SEARCH-108235/2021","EPI_ISL_4269127",2021.223,"Gambia","20I(AlphaV1)","GISAID"
"1468","hCoV-19/Germany/NW-RKI-I-127965/2021","EPI_ISL_2111581",2021.349,"Pakistan","20I(AlphaV1)","GISAID"
"1469","hCoV-19/Georgia/Tb-SNGS277/2021","EPI_ISL_3204240",2021.311,"Germany","20I(AlphaV1)","GISAID"
"1470","hCoV-19/Jamaica/34709/2021","EPI_ISL_3235202",2021.451,"Georgia","20I(AlphaV1)","GISAID"
"1471","hCoV-19/Malawi/CERI-KRISP-K020840/2021","EPI_ISL_3730344",2021.171,"Jamaica","20I(AlphaV1)","GISAID"
"1472","hCoV-19/Vietnam/HCMC_Alpha_04/2021","EPI_ISL_16828682",2021.404,"Malawi","20I(AlphaV1)","GISAID"
"1473","hCoV-19/Japan/PG-36577/2021","EPI_ISL_1934420",2021.264,"Vietnam","20I(AlphaV1)","GISAID"
"1474","hCoV-19/Thailand/SQ-CONI-0465/2021","EPI_ISL_1073964",2021.232,"Japan","20I(AlphaV1)","GISAID"
"1475","hCoV-19/SintMaarten/SX-RIVM-23091/2021","EPI_ISL_1595973",2021.089,"Thailand","20I(AlphaV1)","GISAID"
"1476","hCoV-19/Latvia/2456/2021","EPI_ISL_4548569",2021.207,"SintMaarten","20I(AlphaV1)","GISAID"
"1477","hCoV-19/Georgia/Tb-SNGS071/2021","EPI_ISL_1914785",2021.434,"Latvia","20I(AlphaV1)","GISAID"
"1478","hCoV-19/Kuwait/JAH2882/2021","EPI_ISL_2672785",2021.24,"Georgia","20I(AlphaV1)","GISAID"
"1479","hCoV-19/Kuwait/JAH2851/2021","EPI_ISL_2673282",2021.295,"Kuwait","20I(AlphaV1)","GISAID"
"1480","hCoV-19/Chile/LI-111010/2021","EPI_ISL_2756132",2021.295,"Kuwait","20I(AlphaV1)","GISAID"
"1481","hCoV-19/Venezuela/Bar7126/2021","EPI_ISL_3507375",2021.445,"Chile","20I(AlphaV1)","GISAID"
"1482","hCoV-19/Lithuania/LTU000_NMVRI_109296/2021","EPI_ISL_2428270",2021.503,"Venezuela","20I(AlphaV1)","GISAID"
"1483","hCoV-19/Aruba/AW-RIVM-20175/2021","EPI_ISL_1456513",2021.352,"Lithuania","20I(AlphaV1)","GISAID"
"1484","hCoV-19/Aruba/AW-RIVM-30262/2021","EPI_ISL_2093615",2021.182,"Aruba","20I(AlphaV1)","GISAID"
"1485","hCoV-19/Aruba/AW-RIVM-16023/2021","EPI_ISL_1232698",2021.319,"Aruba","20I(AlphaV1)","GISAID"
"1486","hCoV-19/Spain/CL-COV02993/2021","EPI_ISL_2982104",2021.155,"Aruba","20I(AlphaV1)","GISAID"
"1487","hCoV-19/Netherlands/GE-RIVM-36789/2021","EPI_ISL_2475907",2021.278,"Spain","20I(AlphaV1)","GISAID"
"1488","hCoV-19/Curacao/CW-RIVM-15573/2021","EPI_ISL_1232248",2021.374,"Netherlands","20I(AlphaV1)","GISAID"
"1489","hCoV-19/Curacao/CW-RIVM-18451/2021","EPI_ISL_1369778",2021.141,"Curacao","20I(AlphaV1)","GISAID"
"1490","hCoV-19/Bonaire/BQ-RIVM-16933/2021","EPI_ISL_1288126",2021.174,"Curacao","20I(AlphaV1)","GISAID"
"1491","hCoV-19/Bonaire/BQ-RIVM-40783/2021","EPI_ISL_2788002",2021.166,"Bonaire","20I(AlphaV1)","GISAID"
"1492","hCoV-19/Bonaire/BQ-RIVM-16966/2021","EPI_ISL_1288888",2021.453,"Bonaire","20I(AlphaV1)","GISAID"
"1493","hCoV-19/Bonaire/BQ-RIVM-27410/2021","EPI_ISL_1792864",2021.155,"Bonaire","20I(AlphaV1)","GISAID"
"1494","hCoV-19/Iceland/11824/2021","EPI_ISL_3930806",2021.278,"Bonaire","20I(AlphaV1)","GISAID"
"1495","hCoV-19/Malawi/KRISP-K010155/2020","EPI_ISL_1407116",2021.396,"Iceland","20I(AlphaV1)","GISAID"
"1496","hCoV-19/USA/WV-WVU-WV120077/2021","EPI_ISL_2615758",2020.9,"Malawi","20I(AlphaV1)","GISAID"
"1497","hCoV-19/USA/NY-PRL-2021_0506_00F05/2021","EPI_ISL_2037332",2021.355,"USA","20I(AlphaV1)","GISAID"
"1498","hCoV-19/USA/MO-CDC-QDX24155079/2021","EPI_ISL_2011651",2021.336,"USA","20I(AlphaV1)","GISAID"
"1499","hCoV-19/Curacao/CW-RIVM-25481/2021","EPI_ISL_1704954",2021.3,"USA","20I(AlphaV1)","GISAID"
"1500","hCoV-19/USA/MA-CDC-STM-000072453/2021","EPI_ISL_2320419",2021.251,"Curacao","20I(AlphaV1)","GISAID"
"1501","hCoV-19/USA/WA-S5894/2021","EPI_ISL_1587115",2021.355,"USA","20I(AlphaV1)","GISAID"
"1502","hCoV-19/Togo/C6637/2021","EPI_ISL_1586903",2021.234,"USA","20I(AlphaV1)","GISAID"
"1503","hCoV-19/USA/DC-CDC-2-4282608/2021","EPI_ISL_1937834",2021.105,"Togo","20I(AlphaV1)","GISAID"
"1504","hCoV-19/Ghana/WACCBIP-GS116/2021","EPI_ISL_944678",2021.24,"USA","20I(AlphaV1)","GISAID"
"1505","hCoV-19/Ghana/WACCBIP-GS608/2021","EPI_ISL_2422581",2021.018,"Ghana","20I(AlphaV1)","GISAID"
"1506","hCoV-19/Estonia/RC0013229/2021","EPI_ISL_3665847",2021.171,"Ghana","20I(AlphaV1)","GISAID"
"1507","hCoV-19/USA/SC-FG-025559/2021","EPI_ISL_1937577",2021.442,"Estonia","20I(AlphaV1)","GISAID"
"1508","hCoV-19/Bulgaria/21BG-EU_003635_Pl31/2021","EPI_ISL_2967054",2021.237,"USA","20I(AlphaV1)","GISAID"
"1509","hCoV-19/Switzerland/JU-UHB-727099701/2021","EPI_ISL_2484271",2021.44,"Bulgaria","20I(AlphaV1)","GISAID"
"1510","hCoV-19/HongKong/HKPU-11506/2021","EPI_ISL_2713229",2021.081,"Switzerland","20I(AlphaV1)","GISAID"
"1511","hCoV-19/Latvia/2105026015/2021","EPI_ISL_2798528",2021.256,"HongKong","20I(AlphaV1)","GISAID"
"1512","hCoV-19/Latvia/5060/2021","EPI_ISL_8519681",2021.338,"Latvia","20I(AlphaV1)","GISAID"
"1513","hCoV-19/Angola/CERI-KRISP-K021578/2021","EPI_ISL_3730458",2021.421,"Latvia","20I(AlphaV1)","GISAID"
"1514","hCoV-19/Norway/OUS-07676/2021","EPI_ISL_4120759",2021.404,"Angola","20I(AlphaV1)","GISAID"
"1515","hCoV-19/Grenada/75608/2021","EPI_ISL_2967993",2021.368,"Norway","20I(AlphaV1)","GISAID"
"1516","hCoV-19/Nigeria/CERID-22/2021","EPI_ISL_16521189",2021.478,"Grenada","20I(AlphaV1)","GISAID"
"1517","hCoV-19/NorthMacedonia/13115-k/2021","EPI_ISL_1670000",2021.399,"Nigeria","20I(AlphaV1)","GISAID"
"1518","hCoV-19/BosniaandHerzegovina/BM10602/2021","EPI_ISL_2709213",2021.245,"NorthMacedonia","20I(AlphaV1)","GISAID"
"1519","hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI024/2020","EPI_ISL_1016690",2021.379,"BosniaandHerzegovina","20I(AlphaV1)","GISAID"
"1520","hCoV-19/Singapore/181/2021","EPI_ISL_995294",2020.982,"BosniaandHerzegovina","20I(AlphaV1)","GISAID"
"1521","hCoV-19/Germany/NW-RKI-I-184317/2021","EPI_ISL_2844998",2021.105,"Singapore","20I(AlphaV1)","GISAID"
"1522","hCoV-19/Oman/5211010/2021","EPI_ISL_2925611",2021.492,"Germany","20I(AlphaV1)","GISAID"
"1523","hCoV-19/Uzbekistan/400/2021","EPI_ISL_3188994",2021.01,"Oman","20I(AlphaV1)","GISAID"
"1524","hCoV-19/Mongolia/WOR12903A1263_3002951742_202103673_2-4927375/2021","EPI_ISL_7017721",2021.481,"Uzbekistan","20I(AlphaV1)","GISAID"
"1525","hCoV-19/Andorra/AND-235_2118213847_GC/2021","EPI_ISL_3384893",2021.182,"Mongolia","20I(AlphaV1)","GISAID"
"1526","hCoV-19/Croatia/2977/2021","EPI_ISL_2627818",2021.432,"Andorra","20I(AlphaV1)","GISAID"
"1527","hCoV-19/CzechRepublic/UMTM231389/2021","EPI_ISL_3006769",2021.245,"Croatia","20I(AlphaV1)","GISAID"
"1528","hCoV-19/Slovakia/UKBA-1101/2021","EPI_ISL_959643",2021.489,"CzechRepublic","20I(AlphaV1)","GISAID"
"1529","hCoV-19/Latvia/2105048942/2021","EPI_ISL_2798700",2021.053,"Slovakia","20I(AlphaV1)","GISAID"
"1530","hCoV-19/Germany/un-RKI-I-091096/2021","EPI_ISL_1726113",2021.363,"Latvia","20I(AlphaV1)","GISAID"
"1531","hCoV-19/Monaco/CERBAHC-HTNG3AFX2-S17/2021","EPI_ISL_2562031",2021.281,"Germany","20I(AlphaV1)","GISAID"
"1532","hCoV-19/France/ARA-CFD210023230702/2021","EPI_ISL_2214900",2021.292,"Monaco","20I(AlphaV1)","GISAID"
"1533","hCoV-19/Congo/FCRM-58-A26-06-04/2021","EPI_ISL_3342567",2021.281,"France","20I(AlphaV1)","GISAID"
"1534","hCoV-19/SriLanka/CDR134/2021","EPI_ISL_2481421",2021.262,"Congo","20I(AlphaV1)","GISAID"
"1535","hCoV-19/UnitedArabEmirates/BTC-5117/2021","EPI_ISL_5142865",2021.401,"SriLanka","20I(AlphaV1)","GISAID"
"1536","hCoV-19/Lebanon/QIB-858/2021","EPI_ISL_3344023",2021.103,"UnitedArabEmirates","20I(AlphaV1)","GISAID"
"1537","hCoV-19/Canada/NB-NML-145156/2021","EPI_ISL_4025923",2021.316,"Lebanon","20I(AlphaV1)","GISAID"
"1538","hCoV-19/Iraq/DSeq-C45/2021","EPI_ISL_4574529",2021.574,"Canada","20I(AlphaV1)","GISAID"
"1539","hCoV-19/Georgia/Tb-SNGS057/2021","EPI_ISL_1914603",2021.371,"Iraq","20I(AlphaV1)","GISAID"
"1540","hCoV-19/USA/DE-DHSS-B1090700/2021","EPI_ISL_2383785",2021.188,"Georgia","20I(AlphaV1)","GISAID"
"1541","hCoV-19/Morocco/FMP-163/2021","EPI_ISL_1912790",2021.284,"USA","20I(AlphaV1)","GISAID"
"1542","hCoV-19/Morocco/FMP-172/2021","EPI_ISL_1913018",2021.152,"Morocco","20I(AlphaV1)","GISAID"
"1543","hCoV-19/Norway/OUS-10844/2021","EPI_ISL_4124827",2021.1,"Morocco","20I(AlphaV1)","GISAID"
"1544","hCoV-19/Denmark/DCGC-61742/2021","EPI_ISL_1870313",2021.516,"Norway","20I(AlphaV1)","GISAID"
"1545","hCoV-19/Tunisia/Medenine/S-0396/2021","EPI_ISL_16944285",2021.259,"Denmark","20I(AlphaV1)","GISAID"
"1546","hCoV-19/Australia/QLD1875/2021","EPI_ISL_2001058",2021.311,"Tunisia","20I(AlphaV1)","GISAID"
"1547","hCoV-19/Oman/rega-OM-81/2021","EPI_ISL_4062641",2021.347,"Australia","20I(AlphaV1)","GISAID"
"1548","hCoV-19/Bonaire/BQ-RIVM-35128/2021","EPI_ISL_2405584",2021.426,"Oman","20I(AlphaV1)","GISAID"
"1549","hCoV-19/Philippines/PH-PGC-57766/2021","EPI_ISL_4742060",2021.344,"Bonaire","20I(AlphaV1)","GISAID"
"1550","hCoV-19/Philippines/PH-PGC-46023/2021","EPI_ISL_2859267",2021.492,"Philippines","20I(AlphaV1)","GISAID"
"1551","hCoV-19/Philippines/PH-CRMC-13-17/2021","EPI_ISL_5934899",2021.349,"Philippines","20I(AlphaV1)","GISAID"
"1552","hCoV-19/Philippines/PH-PGC-23610/2021","EPI_ISL_5566333",2021.393,"Philippines","20I(AlphaV1)","GISAID"
"1553","hCoV-19/Cambodia/513209/2021","EPI_ISL_2343248",2021.253,"Philippines","20I(AlphaV1)","GISAID"
"1554","hCoV-19/Cambodia/731183/2021","EPI_ISL_3570986",2021.39,"Cambodia","20I(AlphaV1)","GISAID"
"1555","hCoV-19/Thailand/DMSc-02163/2021","EPI_ISL_5030396",2021.621,"Cambodia","20I(AlphaV1)","GISAID"
"1556","hCoV-19/Thailand/DMSc-00219/2021","EPI_ISL_2351124",2021.437,"Thailand","20I(AlphaV1)","GISAID"
"1557","hCoV-19/Ecuador/EC-G-5369/2020","EPI_ISL_826818",2021.349,"Thailand","20I(AlphaV1)","GISAID"
"1558","hCoV-19/Australia/NSW291/2020","EPI_ISL_451555",2020.245,"Ecuador","20B","GISAID"
"1559","hCoV-19/Sweden/20-22124/2020","EPI_ISL_654943",2020.255,"Australia","20B","GISAID"
"1560","hCoV-19/Iran/K28101/2020","EPI_ISL_15755323",2020.534,"Sweden","20B","GISAID"
"1561","hCoV-19/Iran/GRC-R9548-Tehran-LaB/2020","EPI_ISL_5989815",2020.799,"Iran","20B","GISAID"
"1562","hCoV-19/Iran/H2341/2020","EPI_ISL_15755278",2020.818,"Iran","20B","GISAID"
"1563","hCoV-19/Sweden/01_SE100_21CS503100/2020","EPI_ISL_2898678",2020.701,"Iran","20B","GISAID"
"1564","hCoV-19/UnitedArabEmirates/BTC-4112/2020","EPI_ISL_5143055",2020.25,"Sweden","20B","GISAID"
"1565","hCoV-19/Ireland/D-BH-651618200/2020","EPI_ISL_16111721",2020.316,"UnitedArabEmirates","20B","GISAID"
"1566","hCoV-19/Algeria/9825/2021","EPI_ISL_15928104",2020.447,"Ireland","20B","GISAID"
"1567","hCoV-19/Azerbaijan/un-ChVir8072/2020","EPI_ISL_9214456",2021.086,"Algeria","20B","GISAID"
"1568","hCoV-19/Azerbaijan/un-ChVir24287_225/2020","EPI_ISL_9214643",2020.408,"Azerbaijan","20B","GISAID"
"1569","hCoV-19/Azerbaijan/un-ChVir24287_238/2020","EPI_ISL_9214653",2020.553,"Azerbaijan","20B","GISAID"
"1570","hCoV-19/Azerbaijan/Aghayev-12/2021","EPI_ISL_2161167",2020.594,"Azerbaijan","20B","GISAID"
"1571","hCoV-19/Sweden/RVFOI21-01009/2020","EPI_ISL_2333611",2021.163,"Azerbaijan","20B","GISAID"
"1572","hCoV-19/Australia/NT51/2020","EPI_ISL_521860",2020.807,"Sweden","20B","GISAID"
"1573","hCoV-19/Australia/VIC13714/2020","EPI_ISL_563813",2020.501,"Australia","20F","GISAID"
"1574","hCoV-19/Australia/NSW706/2020","EPI_ISL_513349",2020.676,"Australia","20F","GISAID"
"1575","hCoV-19/Australia/NSW738/2020","EPI_ISL_513381",2020.564,"Australia","20F","GISAID"
"1576","hCoV-19/Australia/QLD993/2020","EPI_ISL_530253",2020.575,"Australia","20F","GISAID"
"1577","hCoV-19/Australia/QLD1134/2020","EPI_ISL_593639",2020.556,"Australia","20F","GISAID"
"1578","hCoV-19/Canada/NB-234/2020","EPI_ISL_479647",2020.682,"Australia","20F","GISAID"
"1579","hCoV-19/UnitedArabEmirates/DU-A-S8-1_S3/2020","EPI_ISL_548969",2020.231,"Canada","20B","GISAID"
"1580","hCoV-19/Canada/SK-NML-476/2020","EPI_ISL_2562944",2020.31,"UnitedArabEmirates","20B","GISAID"
"1581","hCoV-19/Croatia/IGA-69-130648-P/2020","EPI_ISL_1167086",2020.318,"Canada","20B","GISAID"
"1582","hCoV-19/Senegal/91032/2020","EPI_ISL_8525829",2020.969,"Croatia","20B","GISAID"
"1583","hCoV-19/Germany/HH-hpi-p2745/2020","EPI_ISL_7357192",2020.559,"Senegal","20B","GISAID"
"1584","hCoV-19/Mongolia/UB-10519/2020","EPI_ISL_9879581",2020.84,"Germany","20B","GISAID"
"1585","hCoV-19/Belgium/rega-12111331/2020","EPI_ISL_738384",2020.384,"Mongolia","20B","GISAID"
"1586","hCoV-19/Belgium/rega-12111351/2020","EPI_ISL_738404",2020.944,"Belgium","20B","GISAID"
"1587","hCoV-19/Mongolia/UB-17555/2020","EPI_ISL_9879592",2020.944,"Belgium","20B","GISAID"
"1588","hCoV-19/USA/TN-CDC-3981279-001/2020","EPI_ISL_1483215",2020.526,"Mongolia","20B","GISAID"
"1589","hCoV-19/Lesotho/N3406/2020","EPI_ISL_1273391",2020.673,"USA","20B","GISAID"
"1590","hCoV-19/Lesotho/N4824/2021","EPI_ISL_13037733",2020.881,"Lesotho","20B","GISAID"
"1591","hCoV-19/Uruguay/DLSP_2038/2021","EPI_ISL_11799612",2021.179,"Lesotho","20B","GISAID"
"1592","hCoV-19/Uruguay/CUY5-000577-UYSA/2021","EPI_ISL_2964570",2021.21,"Uruguay","20B","GISAID"
"1593","hCoV-19/Uruguay/RT25-UYMO/2021","EPI_ISL_2964705",2021.27,"Uruguay","20B","GISAID"
"1594","hCoV-19/Uruguay/CUY2-000194-UYPA/2021","EPI_ISL_3089993",2021.026,"Uruguay","20B","GISAID"
"1595","hCoV-19/Paraguay/WOR12903A660/2020","EPI_ISL_6944511",2021.105,"Uruguay","20B","GISAID"
"1596","hCoV-19/Brazil/PR-FIOCRUZ-11657-TG-152/2020","EPI_ISL_2775474",2020.389,"Paraguay","20B","GISAID"
"1597","hCoV-19/Paraguay/WOR12903A652/2020","EPI_ISL_6944547",2020.548,"Brazil","20B","GISAID"
"1598","hCoV-19/Paraguay/WOR12903A625/2020","EPI_ISL_6944536",2020.327,"Paraguay","20B","GISAID"
"1599","hCoV-19/Bolivia/SAN-UPCH-1049/2020","EPI_ISL_5148293",2020.613,"Paraguay","20B","GISAID"
"1600","hCoV-19/Uruguay/CHY-M498/2020","EPI_ISL_2754370",2020.66,"Bolivia","20B","GISAID"
"1601","hCoV-19/Brazil/PA-IEC-176894/2020","EPI_ISL_918517",2020.933,"Uruguay","20B","GISAID"
"1602","hCoV-19/Brazil/PE-UFPE128/2020","EPI_ISL_15496606",2020.859,"Brazil","20B","GISAID"
"1603","hCoV-19/Brazil/CE-FIOCRUZ-33658/2020","EPI_ISL_2661886",2020.824,"Brazil","20B","GISAID"
"1604","hCoV-19/Canada/NS-NML-5170/2020","EPI_ISL_1055479",2020.955,"Brazil","20B","GISAID"
"1605","hCoV-19/Paraguay/631523/2021","EPI_ISL_6944357",2020.996,"Canada","20B","GISAID"
"1606","hCoV-19/Paraguay/REDE-PY31/2021","EPI_ISL_3587000",2021.084,"Paraguay","20B","GISAID"
"1607","hCoV-19/Brazil/PR-FIOCRUZ-59080/2021","EPI_ISL_8005218",2021.141,"Paraguay","20B","GISAID"
"1608","hCoV-19/Suriname/SR-102/2020","EPI_ISL_2502546",2021.037,"Brazil","20B","GISAID"
"1609","hCoV-19/Suriname/SR-RIVM-22499/2021","EPI_ISL_1522194",2020.96,"Suriname","20B","GISAID"
"1610","hCoV-19/Suriname/SR-116/2021","EPI_ISL_2502379",2021.144,"Suriname","20B","GISAID"
"1611","hCoV-19/Suriname/SR-135/2021","EPI_ISL_2502563",2021.056,"Suriname","20B","GISAID"
"1612","hCoV-19/Oman/520278568/2020","EPI_ISL_2925612",2021.232,"Suriname","20B","GISAID"
"1613","hCoV-19/Latvia/037/2020","EPI_ISL_486420",2020.884,"Oman","20B","GISAID"
"1614","hCoV-19/Argentina/PAIS-A0324/2020","EPI_ISL_792394",2020.327,"Latvia","20B","GISAID"
"1615","hCoV-19/Argentina/PAIS-F0019/2020","EPI_ISL_964904",2020.359,"Argentina","20B","GISAID"
"1616","hCoV-19/CostaRica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2075-660675/2021","EPI_ISL_7711654",2020.504,"Argentina","20B","GISAID"
"1617","hCoV-19/CostaRica/INC-0143/2020","EPI_ISL_769993",2021.281,"CostaRica","20B","GISAID"
"1618","hCoV-19/CostaRica/INC-0185/2020","EPI_ISL_770005",2020.679,"CostaRica","20B","GISAID"
"1619","hCoV-19/CostaRica/INC-0174/2020","EPI_ISL_769998",2020.9,"CostaRica","20B","GISAID"
"1620","hCoV-19/CostaRica/INC-0179/2020","EPI_ISL_770024",2020.848,"CostaRica","20B","GISAID"
"1621","hCoV-19/GuineaBissau/74LNSPGB/2020","EPI_ISL_2158599",2020.876,"CostaRica","20B","GISAID"
"1622","hCoV-19/Gambia/13449/2021","EPI_ISL_6471592",2020.329,"GuineaBissau","20B","GISAID"
"1623","hCoV-19/Senegal/SN-CHRT-1190B/2021","EPI_ISL_16941833",2021.204,"Gambia","20B","GISAID"
"1624","hCoV-19/CaboVerde/Praia_0329/2021","EPI_ISL_1711660",2021.177,"Senegal","20B","GISAID"
"1625","hCoV-19/Madagascar/IPM-11417/2020","EPI_ISL_3716428",2021.021,"CaboVerde","20B","GISAID"
"1626","hCoV-19/Cyprus/BMVUCY94/2020","EPI_ISL_7209626",2020.411,"Madagascar","20B","GISAID"
"1627","hCoV-19/Lithuania/MR-LUHS-Eilnr302/2020","EPI_ISL_636861",2020.28,"Cyprus","20B","GISAID"
"1628","hCoV-19/Ecuador/UEES-11707/2021","EPI_ISL_1443673",2020.619,"Lithuania","20B","GISAID"
"1629","hCoV-19/UnitedArabEmirates/0957/2020","EPI_ISL_699093",2021.185,"Ecuador","20B","GISAID"
"1630","hCoV-19/Slovakia/113060284E/2020","EPI_ISL_1280144",2020.49,"UnitedArabEmirates","20B","GISAID"
"1631","hCoV-19/Canada/NS-NML-5292/2020","EPI_ISL_10935686",2020.914,"Slovakia","20B","GISAID"
"1632","hCoV-19/Togo/BMC-19125-20/2020","EPI_ISL_1434443",2020.917,"Canada","20B","GISAID"
"1633","hCoV-19/Cyprus/BMVUCY344/2020","EPI_ISL_7209405",2020.425,"Togo","20B","GISAID"
"1634","hCoV-19/Togo/BMC-50407-20/2020","EPI_ISL_1438551",2020.439,"Cyprus","20B","GISAID"
"1635","hCoV-19/Turkey/HSGM-200506/2020","EPI_ISL_814080",2020.728,"Togo","20B","GISAID"
"1636","hCoV-19/Mongolia/UB-13590/2020","EPI_ISL_9879587",2020.586,"Turkey","20B","GISAID"
"1637","hCoV-19/Estonia/Cov3363/2020","EPI_ISL_2642824",2020.447,"Mongolia","20B","GISAID"
"1638","hCoV-19/Armenia/UW-ARM28/2020","EPI_ISL_1854622",2020.854,"Estonia","20B","GISAID"
"1639","hCoV-19/Turkey/HSGM-2168/2021","EPI_ISL_1063980",2020.635,"Armenia","20B","GISAID"
"1640","hCoV-19/Israel/CVL-455-ngs/2020","EPI_ISL_776868",2021.073,"Turkey","20B","GISAID"
"1641","hCoV-19/Mexico/YUC-NYGC-38495-20/2020","EPI_ISL_3023835",2020.988,"Israel","20B","GISAID"
"1642","hCoV-19/Kenya/C17517/2020","EPI_ISL_806662",2020.731,"Mexico","20B","GISAID"
"1643","hCoV-19/NorthMacedonia/27652/2020","EPI_ISL_942968",2020.449,"Kenya","20B","GISAID"
"1644","hCoV-19/NorthMacedonia/7808/2020","EPI_ISL_516431",2020.952,"NorthMacedonia","20B","GISAID"
"1645","hCoV-19/Serbia/KosovskaMitrovica-A07438-3004/2020","EPI_ISL_6959696",2020.551,"NorthMacedonia","20B","GISAID"
"1646","hCoV-19/India/TG-CCMB-W848/2020","EPI_ISL_528824",2020.329,"Serbia","20B","GISAID"
"1647","hCoV-19/England/203290068/2020","EPI_ISL_514351",2020.534,"India","20B","GISAID"
"1648","hCoV-19/Turkey/Ankara_GUMV_37230/2020","EPI_ISL_730570",2020.594,"England","20B","GISAID"
"1649","hCoV-19/Latvia/018/2020","EPI_ISL_450518",2020.758,"Turkey","20B","GISAID"
"1650","hCoV-19/Vietnam/VNHN_4864/2020","EPI_ISL_455708",2020.296,"Latvia","20B","GISAID"
"1651","hCoV-19/Russia/SVE-RII-MH4667S/2020","EPI_ISL_733228",2020.275,"Vietnam","20B","GISAID"
"1652","hCoV-19/Latvia/1974/2021","EPI_ISL_2141556",2020.69,"Russia","20B","GISAID"
"1653","hCoV-19/env/Liaoning/Dalian-IVDC-1/2020","EPI_ISL_2170885",2021.21,"Latvia","20B","GISAID"
"1654","hCoV-19/env/Liaoning/Dalian-IVDC-Pollock-03-06/2020","EPI_ISL_2170894",2020.654,"env","20B","GISAID"
"1655","hCoV-19/USA/WA-S2617/2020","EPI_ISL_497249",2020.422,"env","20B","GISAID"
"1656","hCoV-19/Netherlands/NA_700/2020","EPI_ISL_461135",2020.469,"USA","20B","GISAID"
"1657","hCoV-19/USA/WI-WSLH-201596/2020","EPI_ISL_803734",2020.294,"Netherlands","20B","GISAID"
"1658","hCoV-19/Lithuania/C20-05-R15/2020","EPI_ISL_560394",2020.766,"USA","20B","GISAID"
"1659","hCoV-19/Algeria/96150/2020","EPI_ISL_12156732",2020.389,"Lithuania","20B","GISAID"
"1660","hCoV-19/NewZealand/20CV0473/2020","EPI_ISL_622811",2020.75,"Algeria","20B","GISAID"
"1661","hCoV-19/Russia/SAR-CSP-EPIC-25825_S66/2020","EPI_ISL_8908542",2020.807,"NewZealand","20B","GISAID"
"1662","hCoV-19/Mexico/BCS-InDRE_340/2020","EPI_ISL_1060749",2020.75,"Russia","20B","GISAID"
"1663","hCoV-19/Japan/PG-28255/2021","EPI_ISL_1431764",2020.581,"Mexico","20B","GISAID"
"1664","hCoV-19/Guinea/Conakry_IPG16085/2020","EPI_ISL_2245869",2021.089,"Japan","20B","GISAID"
"1665","hCoV-19/NewZealand/21MV0426/2021","EPI_ISL_2406487",2020.933,"Guinea","20B","GISAID"
"1666","hCoV-19/TrinidadandTobago/55455/2021","EPI_ISL_1591265",2021.39,"NewZealand","20B","GISAID"
"1667","hCoV-19/TrinidadandTobago/65047/2021","EPI_ISL_2649780",2021.133,"TrinidadandTobago","20B","GISAID"
"1668","hCoV-19/SierraLeone/SL05/2020","EPI_ISL_2716623",2021.319,"TrinidadandTobago","20B","GISAID"
"1669","hCoV-19/SierraLeone/nmimr-SLE--SLSEQ073/2021","EPI_ISL_15283217",2020.996,"SierraLeone","20B","GISAID"
"1670","hCoV-19/SierraLeone/CPHRL-094/2021","EPI_ISL_4755979",2021.097,"SierraLeone","20B","GISAID"
